iter	RMSE
0	11444.92515
1	10795.80851
2	10191.94028
3	9613.387573
4	9096.937959
5	8599.146847
6	8185.68021
7	7770.863914
8	7393.853795
9	7056.508716
10	6780.004792
11	6501.974776
12	6265.046359
13	6049.742276
14	5873.748097
15	5694.896149
16	5551.855658
17	5404.933518
18	5296.436838
19	5191.179503
20	5098.592789
21	5010.302075
22	4940.873097
23	4873.169519
24	4816.492741
25	4761.51604
26	4707.113816
27	4662.079925
28	4622.659473
29	4591.064269
30	4556.995314
31	4535.462429
32	4505.961053
33	4486.121783
34	4462.967285
35	4441.889631
36	4426.003769
37	4409.786437
38	4397.139541
39	4384.848805
40	4367.864072
41	4349.43946
42	4346.259981
43	4334.957189
44	4323.233892
45	4313.518287
46	4303.1136
47	4292.605304
48	4287.902063
49	4283.605578
50	4274.284398
51	4267.41726
52	4262.41941
53	4255.490775
54	4247.803275
55	4241.139732
56	4238.557299
57	4233.379047
58	4230.722303
59	4224.035595
60	4215.779254
61	4209.438409
62	4205.868957
63	4202.088473
64	4197.929313
65	4194.203942
66	4190.04554
67	4183.184025
68	4174.794565
69	4172.168395
70	4169.133662
71	4163.041161
72	4158.921662
73	4154.63728
74	4150.299211
75	4143.886175
76	4141.842635
77	4137.787983
78	4134.190613
79	4128.234727
80	4122.565002
81	4118.253679
82	4114.381057
83	4110.764514
84	4105.35024
85	4100.813885
86	4099.447619
87	4097.659366
88	4094.388463
89	4089.697498
90	4086.126383
91	4083.877891
92	4079.982255
93	4076.838976
94	4071.054511
95	4067.612305
96	4063.404621
97	4059.319746
98	4057.996914
99	4056.133586
