iter	Passed	Remaining
0	1	99
1	2	106
2	2	92
3	3	85
4	4	83
5	5	82
6	6	81
7	6	79
8	7	78
9	8	77
10	9	77
11	10	76
12	11	75
13	12	74
14	13	74
15	14	76
16	15	76
17	16	74
18	17	73
19	18	72
20	18	71
21	19	70
22	20	69
23	21	68
24	22	67
25	23	66
26	24	65
27	25	64
28	26	64
29	27	63
30	28	62
31	29	61
32	29	60
33	30	59
34	31	59
35	32	58
36	33	57
37	34	55
38	35	54
39	35	53
40	36	52
41	37	52
42	38	50
43	39	50
44	40	49
45	41	48
46	41	47
47	42	46
48	43	45
49	44	44
50	45	43
51	46	43
52	47	42
53	48	41
54	49	40
55	50	39
56	51	38
57	52	37
58	52	36
59	53	35
60	54	34
61	55	34
62	56	33
63	57	32
64	58	31
65	58	30
66	59	29
67	60	28
68	61	27
69	62	26
70	63	25
71	64	25
72	65	24
73	66	23
74	67	22
75	67	21
76	68	20
77	69	19
78	70	18
79	71	17
80	72	16
81	73	16
82	73	15
83	75	14
84	76	13
85	77	12
86	77	11
87	78	10
88	79	9
89	80	8
90	81	8
91	82	7
92	82	6
93	83	5
94	84	4
95	85	3
96	86	2
97	87	1
98	89	0
99	91	0
